person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,affected_features
21,31544,MORTGAGE,4.0,MEDICAL,A,2200,7.9,0,0.07,N,2,person_emp_length
21,32000,MORTGAGE,4.0,MEDICAL,A,8000,5.99,0,0.25,N,3,person_emp_length
22,32000,MORTGAGE,4.0,EDUCATION,A,11050,7.49,0,0.35,N,2,person_emp_length
26,30000,RENT,4.0,VENTURE,C,2800,14.65,0,0.09,Y,3,person_emp_length
25,32004,MORTGAGE,4.0,MEDICAL,A,7200,5.42,0,0.22,N,4,person_emp_length
22,32400,MORTGAGE,4.0,PERSONAL,A,5000,7.49,0,0.15,N,3,person_emp_length
23,16080,RENT,4.0,DEBTCONSOLIDATION,D,3000,16.29,1,0.19,Y,2,person_emp_length
21,33000,OWN,4.0,PERSONAL,A,2500,6.03,0,0.08,N,4,person_emp_length
26,33000,OWN,4.0,VENTURE,A,10150,8.49,0,0.31,N,2,person_emp_length
23,33098,MORTGAGE,4.0,DEBTCONSOLIDATION,D,9000,16.29,1,0.27,Y,3,person_emp_length
24,40000,RENT,4.0,EDUCATION,D,3000,17.27,1,0.07,N,2,person_emp_length
23,33600,MORTGAGE,4.0,DEBTCONSOLIDATION,C,4000,14.79,0,0.12,N,2,person_emp_length
24,33600,MORTGAGE,4.0,VENTURE,A,12000,5.42,0,0.36,N,2,person_emp_length
26,49200,RENT,4.0,DEBTCONSOLIDATION,C,12000,15.23,0,0.24,Y,3,person_emp_length
24,33996,OWN,4.0,MEDICAL,B,5100,11.12,0,0.15,N,4,person_emp_length
23,34200,MORTGAGE,4.0,MEDICAL,A,5500,7.49,0,0.16,N,4,person_emp_length
25,34800,MORTGAGE,4.0,DEBTCONSOLIDATION,A,9450,5.99,0,0.27,N,4,person_emp_length
22,35000,MORTGAGE,4.0,VENTURE,F,5000,21.36,0,0.14,Y,2,person_emp_length
25,17436,RENT,4.0,VENTURE,B,3025,11.49,1,0.17,N,2,person_emp_length
26,35000,OWN,4.0,PERSONAL,B,7200,11.11,0,0.21,N,4,person_emp_length
23,29000,OWN,4.0,MEDICAL,F,10000,18.62,1,0.34,Y,3,person_emp_length
21,12000,RENT,4.0,VENTURE,B,3200,11.49,1,0.27,N,2,person_emp_length
22,30000,RENT,4.0,DEBTCONSOLIDATION,D,3200,15.62,1,0.11,Y,4,person_emp_length
25,33000,RENT,4.0,HOMEIMPROVEMENT,C,3200,12.99,1,0.1,Y,2,person_emp_length
23,35352,MORTGAGE,4.0,EDUCATION,A,6500,5.42,0,0.18,N,2,person_emp_length
22,29554,MORTGAGE,4.0,DEBTCONSOLIDATION,A,5775,5.42,1,0.2,N,3,person_emp_length
25,27600,RENT,4.0,VENTURE,B,3500,10.99,0,0.13,N,4,person_emp_length
23,30000,RENT,4.0,MEDICAL,B,3500,11.49,1,0.12,N,2,person_emp_length
26,30000,MORTGAGE,4.0,DEBTCONSOLIDATION,A,8000,6.62,1,0.27,N,4,person_emp_length
22,36000,MORTGAGE,4.0,MEDICAL,A,7275,6.03,0,0.2,N,3,person_emp_length
24,36000,MORTGAGE,4.0,HOMEIMPROVEMENT,A,14775,6.62,0,0.41,N,4,person_emp_length
24,36000,OWN,4.0,EDUCATION,A,6500,5.42,0,0.18,N,2,person_emp_length
22,10800,RENT,4.0,VENTURE,C,3600,12.23,1,0.33,Y,3,person_emp_length
21,36000,OWN,4.0,EDUCATION,A,11000,5.42,0,0.31,N,3,person_emp_length
25,12000,RENT,4.0,DEBTCONSOLIDATION,B,3600,9.62,1,0.3,N,2,person_emp_length
21,24000,RENT,4.0,EDUCATION,B,3600,11.99,0,0.15,N,3,person_emp_length
23,36000,OWN,4.0,VENTURE,A,18000,7.88,0,0.5,N,2,person_emp_length
26,36000,OWN,4.0,PERSONAL,B,15000,10.25,0,0.42,N,2,person_emp_length
23,36000,MORTGAGE,4.0,EDUCATION,A,10000,7.14,0,0.28,N,3,person_emp_length
24,30000,MORTGAGE,4.0,HOMEIMPROVEMENT,C,10000,14.22,1,0.33,Y,3,person_emp_length
26,36588,MORTGAGE,4.0,DEBTCONSOLIDATION,B,10000,10.65,0,0.27,N,3,person_emp_length
26,36636,MORTGAGE,4.0,MEDICAL,A,5000,6.03,0,0.14,N,2,person_emp_length
21,36648,MORTGAGE,4.0,DEBTCONSOLIDATION,B,7125,9.91,0,0.19,N,2,person_emp_length
25,30780,MORTGAGE,4.0,MEDICAL,A,5500,8.49,1,0.18,N,4,person_emp_length
24,36852,MORTGAGE,4.0,EDUCATION,B,6000,9.99,0,0.16,N,4,person_emp_length
25,30600,RENT,4.0,MEDICAL,C,10500,13.35,1,0.34,N,3,person_emp_length
25,37200,MORTGAGE,4.0,EDUCATION,B,10000,9.91,0,0.27,N,3,person_emp_length
22,60000,RENT,4.0,EDUCATION,C,3600,15.27,0,0.06,Y,2,person_emp_length
24,17496,RENT,4.0,EDUCATION,C,3700,14.22,1,0.21,N,4,person_emp_length
24,48000,RENT,4.0,MEDICAL,A,3700,6.99,0,0.08,N,4,person_emp_length
23,32000,MORTGAGE,4.0,EDUCATION,B,1000,10.59,1,0.03,N,2,person_emp_length
22,15708,RENT,4.0,HOMEIMPROVEMENT,B,4000,11.12,1,0.25,N,3,person_emp_length
25,24000,RENT,4.0,PERSONAL,B,4000,11.71,0,0.17,N,3,person_emp_length
23,25000,RENT,4.0,VENTURE,B,4000,11.71,0,0.16,N,4,person_emp_length
25,25200,RENT,4.0,EDUCATION,B,4000,10.25,0,0.16,N,2,person_emp_length
24,38268,MORTGAGE,4.0,PERSONAL,B,6000,9.88,0,0.16,N,4,person_emp_length
22,38400,MORTGAGE,4.0,EDUCATION,B,5000,11.49,0,0.13,N,2,person_emp_length
22,38400,MORTGAGE,4.0,PERSONAL,A,1000,5.79,0,0.03,N,2,person_emp_length
26,38400,MORTGAGE,4.0,EDUCATION,C,10000,13.98,0,0.26,N,4,person_emp_length
22,34800,RENT,4.0,DEBTCONSOLIDATION,B,4000,10.74,0,0.11,N,3,person_emp_length
26,33192,MORTGAGE,4.0,PERSONAL,B,3000,12.69,1,0.09,N,4,person_emp_length
24,39828,OWN,4.0,MEDICAL,B,3000,8.88,0,0.08,N,4,person_emp_length
21,39828,OWN,4.0,PERSONAL,B,15000,10.99,0,0.38,N,3,person_emp_length
22,28080,RENT,4.0,MEDICAL,B,4200,9.91,1,0.15,N,4,person_emp_length
23,40000,OWN,4.0,VENTURE,A,7500,5.42,0,0.19,N,2,person_emp_length
22,30000,RENT,4.0,EDUCATION,A,4350,6.03,0,0.14,N,4,person_emp_length
24,16800,RENT,4.0,DEBTCONSOLIDATION,B,4375,9.99,1,0.26,N,2,person_emp_length
25,17600,RENT,4.0,PERSONAL,C,4500,13.99,1,0.26,N,2,person_emp_length
23,18000,RENT,4.0,VENTURE,A,4500,7.49,1,0.25,N,4,person_emp_length
24,32000,RENT,4.0,MEDICAL,A,4500,7.29,0,0.14,N,4,person_emp_length
22,44000,RENT,4.0,PERSONAL,D,4500,14.46,1,0.1,Y,2,person_emp_length
23,40000,MORTGAGE,4.0,EDUCATION,A,4000,6.39,0,0.1,N,3,person_emp_length
24,22392,RENT,4.0,MEDICAL,B,4650,9.99,0,0.21,N,4,person_emp_length
22,19800,RENT,4.0,DEBTCONSOLIDATION,B,4800,10.99,1,0.24,N,2,person_emp_length
23,23136,RENT,4.0,EDUCATION,A,4800,6.17,0,0.21,N,2,person_emp_length
22,23448,RENT,4.0,DEBTCONSOLIDATION,B,4800,11.86,0,0.2,N,3,person_emp_length
21,27000,RENT,4.0,DEBTCONSOLIDATION,C,4800,13.49,0,0.18,N,4,person_emp_length
22,31200,RENT,4.0,VENTURE,B,4800,10.37,0,0.15,N,4,person_emp_length
23,40800,OWN,4.0,MEDICAL,A,21000,6.17,0,0.51,N,3,person_emp_length
25,40800,MORTGAGE,4.0,HOMEIMPROVEMENT,A,8000,5.79,0,0.2,N,2,person_emp_length
21,41000,MORTGAGE,4.0,PERSONAL,A,3000,5.79,0,0.07,N,4,person_emp_length
26,89000,RENT,4.0,EDUCATION,A,4800,5.99,0,0.05,N,2,person_emp_length
24,41100,OWN,4.0,PERSONAL,A,5600,6.03,0,0.14,N,3,person_emp_length
21,88000,RENT,4.0,VENTURE,E,10000,17.93,1,0.11,Y,3,person_emp_length
25,42000,MORTGAGE,4.0,DEBTCONSOLIDATION,B,3000,9.91,0,0.07,N,4,person_emp_length
22,42000,MORTGAGE,4.0,VENTURE,B,3500,9.91,0,0.08,N,2,person_emp_length
24,42000,MORTGAGE,4.0,VENTURE,A,8000,6.62,0,0.19,N,3,person_emp_length
25,13296,RENT,4.0,HOMEIMPROVEMENT,B,4950,9.63,1,0.37,N,3,person_emp_length
25,30000,RENT,4.0,EDUCATION,A,5000,7.9,0,0.17,N,3,person_emp_length
23,30000,RENT,4.0,HOMEIMPROVEMENT,C,5000,12.99,1,0.17,Y,2,person_emp_length
25,42000,MORTGAGE,4.0,VENTURE,B,3500,10.36,0,0.08,N,2,person_emp_length
23,36000,RENT,4.0,DEBTCONSOLIDATION,A,5000,6.17,0,0.14,N,2,person_emp_length
22,36000,RENT,4.0,MEDICAL,C,5000,13.48,0,0.14,N,3,person_emp_length
23,31516,RENT,4.0,DEBTCONSOLIDATION,B,5000,9.91,1,0.16,N,4,person_emp_length
23,32000,RENT,4.0,PERSONAL,B,5000,9.91,1,0.16,N,3,person_emp_length
22,40000,RENT,4.0,EDUCATION,A,5000,8.9,0,0.13,N,2,person_emp_length
22,40000,RENT,4.0,EDUCATION,A,5000,6.17,0,0.13,N,2,person_emp_length
22,43200,MORTGAGE,4.0,VENTURE,A,7975,7.49,0,0.18,N,2,person_emp_length
26,43873,OWN,4.0,HOMEIMPROVEMENT,D,17500,16.32,0,0.4,N,3,person_emp_length
23,44000,MORTGAGE,4.0,MEDICAL,A,6000,5.42,0,0.14,N,4,person_emp_length
24,44000,MORTGAGE,4.0,MEDICAL,A,3600,5.79,0,0.08,N,2,person_emp_length
26,44400,MORTGAGE,4.0,VENTURE,C,6500,14.35,0,0.15,N,2,person_emp_length
25,80000,RENT,4.0,DEBTCONSOLIDATION,A,8800,7.51,0,0.11,N,2,person_emp_length
22,26000,RENT,4.0,EDUCATION,A,8500,6.17,1,0.33,N,3,person_emp_length
24,39000,MORTGAGE,4.0,DEBTCONSOLIDATION,A,7000,7.49,1,0.18,N,3,person_emp_length
22,39000,MORTGAGE,4.0,HOMEIMPROVEMENT,A,5500,5.99,1,0.14,N,4,person_emp_length
26,40500,RENT,4.0,DEBTCONSOLIDATION,A,8500,7.88,0,0.21,N,2,person_emp_length
23,45000,OWN,4.0,EDUCATION,C,15000,14.79,0,0.33,N,4,person_emp_length
22,21040,RENT,4.0,EDUCATION,B,8450,11.71,1,0.4,N,4,person_emp_length
25,45149,MORTGAGE,4.0,EDUCATION,A,9000,5.79,0,0.2,N,4,person_emp_length
23,45600,MORTGAGE,4.0,MEDICAL,B,3000,11.49,0,0.07,N,4,person_emp_length
22,39696,MORTGAGE,4.0,EDUCATION,B,14125,12.42,1,0.36,N,4,person_emp_length
23,46000,MORTGAGE,4.0,MEDICAL,A,3000,7.88,0,0.07,N,3,person_emp_length
21,22000,RENT,4.0,PERSONAL,B,5325,12.42,1,0.24,N,3,person_emp_length
26,36000,RENT,4.0,VENTURE,A,5400,8.9,0,0.15,N,2,person_emp_length
26,15436,RENT,4.0,DEBTCONSOLIDATION,A,5500,7.88,1,0.36,N,3,person_emp_length
23,46800,MORTGAGE,4.0,PERSONAL,A,5000,6.99,0,0.11,N,2,person_emp_length
26,46800,MORTGAGE,4.0,HOMEIMPROVEMENT,D,6000,14.91,0,0.13,N,2,person_emp_length
21,46800,MORTGAGE,4.0,DEBTCONSOLIDATION,A,5000,7.51,0,0.11,N,3,person_emp_length
23,46932,OWN,4.0,EDUCATION,A,7000,5.79,0,0.15,N,4,person_emp_length
24,47100,MORTGAGE,4.0,PERSONAL,B,4000,11.49,0,0.08,N,3,person_emp_length
24,20485,RENT,4.0,PERSONAL,A,5575,7.9,0,0.27,N,4,person_emp_length
21,20000,RENT,4.0,MEDICAL,B,5600,10.75,0,0.28,N,4,person_emp_length
22,47952,MORTGAGE,4.0,VENTURE,A,15000,6.17,0,0.31,N,4,person_emp_length
22,42000,MORTGAGE,4.0,PERSONAL,A,3200,7.9,1,0.08,N,3,person_emp_length
23,62000,RENT,4.0,VENTURE,B,5600,9.99,0,0.09,N,4,person_emp_length
24,48000,MORTGAGE,4.0,HOMEIMPROVEMENT,B,2000,12.69,0,0.04,N,4,person_emp_length
24,42000,MORTGAGE,4.0,MEDICAL,A,19000,6.99,1,0.45,N,3,person_emp_length
23,20124,RENT,4.0,DEBTCONSOLIDATION,C,5950,13.49,0,0.3,Y,3,person_emp_length
25,48000,MORTGAGE,4.0,HOMEIMPROVEMENT,A,4500,5.42,0,0.09,N,2,person_emp_length
24,21640,RENT,4.0,VENTURE,A,6000,6.62,0,0.28,N,4,person_emp_length
24,42000,MORTGAGE,4.0,PERSONAL,E,18250,16.82,1,0.43,Y,4,person_emp_length
24,24000,RENT,4.0,MEDICAL,C,6000,12.99,0,0.25,Y,4,person_emp_length
23,32124,RENT,4.0,MEDICAL,D,6000,16.77,1,0.19,Y,3,person_emp_length
22,34039,RENT,4.0,PERSONAL,A,6000,7.9,0,0.18,N,2,person_emp_length
22,49000,MORTGAGE,4.0,PERSONAL,A,16750,6.91,0,0.34,N,4,person_emp_length
22,49200,MORTGAGE,4.0,DEBTCONSOLIDATION,A,21000,7.51,0,0.43,N,4,person_emp_length
22,50000,MORTGAGE,4.0,VENTURE,B,10000,12.69,0,0.2,N,4,person_emp_length
24,44000,MORTGAGE,4.0,MEDICAL,B,5000,11.99,1,0.11,N,3,person_emp_length
23,54516,RENT,4.0,VENTURE,B,6000,9.91,0,0.11,N,3,person_emp_length
21,15600,RENT,4.0,EDUCATION,A,7000,7.51,1,0.45,N,2,person_emp_length
21,17000,RENT,4.0,DEBTCONSOLIDATION,B,7000,10.62,1,0.41,N,2,person_emp_length
23,18500,RENT,4.0,EDUCATION,A,7000,7.66,1,0.38,N,4,person_emp_length
24,50000,OWN,4.0,VENTURE,B,21000,10.62,0,0.42,N,4,person_emp_length
25,22776,RENT,4.0,HOMEIMPROVEMENT,B,7000,9.91,1,0.31,N,4,person_emp_length
24,50112,OWN,4.0,PERSONAL,A,1000,5.42,0,0.02,N,2,person_emp_length
25,50400,MORTGAGE,4.0,HOMEIMPROVEMENT,A,6000,7.14,0,0.12,N,4,person_emp_length
23,14898,RENT,4.0,VENTURE,C,6250,15.27,1,0.42,N,2,person_emp_length
22,16000,RENT,4.0,VENTURE,B,6250,9.91,1,0.39,N,2,person_emp_length
24,46000,MORTGAGE,4.0,MEDICAL,D,10000,15.99,1,0.22,N,3,person_emp_length
24,12624,RENT,4.0,VENTURE,C,6300,13.85,1,0.5,N,3,person_emp_length
24,21600,RENT,4.0,VENTURE,C,6500,14.79,1,0.3,Y,4,person_emp_length
25,35000,RENT,4.0,MEDICAL,C,6500,12.68,0,0.19,Y,2,person_emp_length
23,52360,MORTGAGE,4.0,VENTURE,D,15000,16.49,0,0.29,Y,2,person_emp_length
22,52800,OWN,4.0,MEDICAL,A,7000,6.99,0,0.13,N,4,person_emp_length
21,21600,RENT,4.0,DEBTCONSOLIDATION,A,6700,6.92,1,0.31,N,4,person_emp_length
23,53160,MORTGAGE,4.0,DEBTCONSOLIDATION,A,7000,7.49,0,0.13,N,3,person_emp_length
23,53500,MORTGAGE,4.0,DEBTCONSOLIDATION,B,2000,9.62,0,0.04,N,4,person_emp_length
22,30000,RENT,4.0,HOMEIMPROVEMENT,D,6400,15.99,1,0.21,N,2,person_emp_length
21,53876,MORTGAGE,4.0,PERSONAL,C,2700,14.72,0,0.05,N,4,person_emp_length
25,41508,RENT,4.0,MEDICAL,C,6400,14.79,0,0.15,N,3,person_emp_length
23,54000,MORTGAGE,4.0,DEBTCONSOLIDATION,B,5000,9.99,0,0.09,N,3,person_emp_length
21,26400,RENT,4.0,PERSONAL,D,7000,14.84,1,0.27,Y,3,person_emp_length
25,54300,MORTGAGE,4.0,PERSONAL,A,8000,6.92,0,0.15,N,4,person_emp_length
21,30600,RENT,4.0,DEBTCONSOLIDATION,A,7000,7.29,0,0.23,N,2,person_emp_length
26,36000,RENT,4.0,MEDICAL,C,7000,13.98,1,0.19,Y,2,person_emp_length
26,55000,MORTGAGE,4.0,VENTURE,A,4500,8.49,0,0.08,N,3,person_emp_length
22,55000,OWN,4.0,VENTURE,A,1275,6.91,0,0.02,N,3,person_emp_length
25,56000,MORTGAGE,4.0,EDUCATION,A,5000,5.42,0,0.09,N,3,person_emp_length
24,43995,RENT,4.0,PERSONAL,C,7400,13.99,1,0.17,Y,4,person_emp_length
23,56400,MORTGAGE,4.0,EDUCATION,B,4000,11.49,0,0.07,N,4,person_emp_length
21,56532,MORTGAGE,4.0,EDUCATION,A,16000,7.88,0,0.28,N,3,person_emp_length
24,56533,MORTGAGE,4.0,HOMEIMPROVEMENT,B,20000,11.11,0,0.35,N,2,person_emp_length
25,57120,MORTGAGE,4.0,MEDICAL,B,25000,10.99,0,0.44,N,4,person_emp_length
26,57550,MORTGAGE,4.0,DEBTCONSOLIDATION,A,3500,5.42,0,0.06,N,4,person_emp_length
23,57600,MORTGAGE,4.0,DEBTCONSOLIDATION,A,10000,6.03,0,0.17,N,4,person_emp_length
22,57600,OWN,4.0,EDUCATION,A,1500,5.99,0,0.03,N,3,person_emp_length
24,57600,MORTGAGE,4.0,HOMEIMPROVEMENT,A,3300,5.42,0,0.06,N,4,person_emp_length
25,41412,RENT,4.0,MEDICAL,B,7600,11.12,0,0.18,N,3,person_emp_length
22,23400,RENT,4.0,EDUCATION,A,7700,5.99,1,0.33,N,2,person_emp_length
26,59000,MORTGAGE,4.0,VENTURE,A,7800,6.99,0,0.13,N,2,person_emp_length
25,23000,RENT,4.0,HOMEIMPROVEMENT,D,8000,14.46,1,0.35,Y,2,person_emp_length
26,59760,MORTGAGE,4.0,HOMEIMPROVEMENT,B,6000,9.99,0,0.1,N,2,person_emp_length
22,60000,MORTGAGE,4.0,EDUCATION,A,12000,7.51,0,0.2,N,3,person_emp_length
